valid,step,train,train_loss_step,epoch,val_loss_step,val_loss_epoch,train_loss_epoch
2.906296491622925,0,,,,,,
0.91862952709198,1,,,,,,
,2,0.8181666731834412,,,,,
,3,0.6755483150482178,,,,,
,4,0.745337963104248,,,,,
,5,0.6722453832626343,,,,,
,6,0.6363322734832764,,,,,
,4,,0.6363322734832764,0,,,
,8,0.7588838338851929,,,,,
,9,0.6198381185531616,,,,,
,10,0.6399693489074707,,,,,
,11,0.6200941205024719,,,,,
,12,0.5356137752532959,,,,,
,9,,0.5356137752532959,0,,,
,14,0.5578387379646301,,,,,
,15,0.5750219225883484,,,,,
,16,0.5670205950737,,,,,
,17,0.5576021075248718,,,,,
,18,0.7908788919448853,,,,,
,14,,0.7908788919448853,0,,,
,20,0.6590330600738525,,,,,
,21,0.6549853682518005,,,,,
,22,0.6230650544166565,,,,,
0.6224181056022644,23,,,,,,
,0,,,,0.6224181056022644,,
0.6388791799545288,25,,,,,,
,1,,,,0.6388791799545288,,
0.6425179839134216,27,,,,,,
,2,,,,0.6425179839134216,,
0.6104682683944702,29,,,,,,
,3,,,,0.6104682683944702,,
0.6392208337783813,31,,,,,,
,4,,,,0.6392208337783813,,
0.6847257018089294,33,,,,,,
,5,,,,0.6847257018089294,,
,17,,,0,,0.6397050023078918,
,17,,,0,,,0.650415301322937
,37,0.467827707529068,,,,,
,38,0.41953346133232117,,,,,
,19,,0.41953346133232117,1,,,
,40,0.5043519735336304,,,,,
,41,0.5536096096038818,,,,,
,42,0.44876599311828613,,,,,
,43,0.6362608671188354,,,,,
,44,0.4986553192138672,,,,,
,24,,0.4986553192138672,1,,,
,46,0.6150267720222473,,,,,
,47,0.5887231230735779,,,,,
,48,0.3919135332107544,,,,,
,49,0.5131310820579529,,,,,
,50,0.4753234088420868,,,,,
,29,,0.4753234088420868,1,,,
,52,0.47692567110061646,,,,,
,53,0.5121349096298218,,,,,
,54,0.7365502715110779,,,,,
,55,0.6544614434242249,,,,,
,56,0.6433720588684082,,,,,
,34,,0.6433720588684082,1,,,
,58,0.5655928254127502,,,,,
0.549277663230896,59,,,,,,
,6,,,,0.549277663230896,,
0.4867229461669922,61,,,,,,
,7,,,,0.4867229461669922,,
0.5807255506515503,63,,,,,,
,8,,,,0.5807255506515503,,
0.5458683967590332,65,,,,,,
,9,,,,0.5458683967590332,,
0.5250598788261414,67,,,,,,
,10,,,,0.5250598788261414,,
0.5685751438140869,69,,,,,,
,11,,,,0.5685751438140869,,
,35,,,1,,0.5427049398422241,
,35,,,1,,,0.5390089154243469
,73,0.4040956497192383,,,,,
,74,0.34290504455566406,,,,,
,75,0.46465930342674255,,,,,
,76,0.5378702878952026,,,,,
,39,,0.5378702878952026,2,,,
,78,0.40128910541534424,,,,,
,79,0.6988145709037781,,,,,
