valid,step,train,train_loss_step,epoch,val_loss_step,val_loss_epoch,train_loss_epoch
,296,0.3923015594482422,,,,,
,204,,0.3923015594482422,5,,,
,298,0.3880806267261505,,,,,
,299,0.4000188708305359,,,,,
,300,0.3855268359184265,,,,,
,301,0.3977886736392975,,,,,
,302,0.39096441864967346,,,,,
,209,,0.39096441864967346,5,,,
,304,0.3887890577316284,,,,,
,305,0.3828987777233124,,,,,
,306,0.38752949237823486,,,,,
,307,0.3868190050125122,,,,,
,308,0.38626256585121155,,,,,
,214,,0.38626256585121155,5,,,
,310,0.3913493752479553,,,,,
0.3987586796283722,311,,,,,,
,20,,,,0.3987586796283722,,
0.4078369140625,313,,,,,,
,21,,,,0.4078369140625,,
0.4051451086997986,315,,,,,,
,22,,,,0.4051451086997986,,
0.4015297591686249,317,,,,,,
,23,,,,0.4015297591686249,,
,215,,,5,,0.4033176302909851,
,215,,,5,,,0.39699557423591614
,321,0.4031267464160919,,,,,
,322,0.39041605591773987,,,,,
,323,0.39415132999420166,,,,,
,324,0.39282235503196716,,,,,
,219,,0.39282235503196716,6,,,
,326,0.38756078481674194,,,,,
,327,0.4000299274921417,,,,,
,328,0.3918761909008026,,,,,
,329,0.3886461853981018,,,,,
,330,0.3994515836238861,,,,,
,224,,0.3994515836238861,6,,,
,332,0.38236358761787415,,,,,
,333,0.382245272397995,,,,,
,334,0.3774404525756836,,,,,
,335,0.3908937871456146,,,,,
,336,0.383387953042984,,,,,
,229,,0.383387953042984,6,,,
,338,0.3860713541507721,,,,,
,339,0.38466817140579224,,,,,
,340,0.39125755429267883,,,,,
,341,0.38150155544281006,,,,,
,342,0.38830113410949707,,,,,
,234,,0.38830113410949707,6,,,
,344,0.39506402611732483,,,,,
,345,0.385570764541626,,,,,
,346,0.37807539105415344,,,,,
,347,0.3893270194530487,,,,,
,348,0.3904164731502533,,,,,
,239,,0.3904164731502533,6,,,
,350,0.38308775424957275,,,,,
,351,0.37857240438461304,,,,,
,352,0.3948594629764557,,,,,
,353,0.3754653036594391,,,,,
,354,0.385929673910141,,,,,
,244,,0.385929673910141,6,,,
,356,0.38208189606666565,,,,,
,357,0.3745751976966858,,,,,
,358,0.37413713335990906,,,,,
,359,0.37603411078453064,,,,,
,360,0.3777107000350952,,,,,
,249,,0.3777107000350952,6,,,
,362,0.37649962306022644,,,,,
,363,0.3805027902126312,,,,,
0.3866880238056183,364,,,,,,
,24,,,,0.3866880238056183,,
0.3964127004146576,366,,,,,,
,25,,,,0.3964127004146576,,
0.3938572406768799,368,,,,,,
,26,,,,0.3938572406768799,,
0.38936561346054077,370,,,,,,
,27,,,,0.38936561346054077,,
,251,,,6,,0.39158087968826294,
,251,,,6,,,0.38594791293144226
,374,0.39289113879203796,,,,,
,375,0.3844524323940277,,,,,
,376,0.38276830315589905,,,,,
,254,,0.38276830315589905,7,,,
,378,0.3857967257499695,,,,,
,379,0.3832224905490875,,,,,
,380,0.3880356550216675,,,,,
,381,0.38177788257598877,,,,,
,382,0.37531983852386475,,,,,
,259,,0.37531983852386475,7,,,
,384,0.39725548028945923,,,,,
,385,0.37065863609313965,,,,,
,386,0.3767997920513153,,,,,
,387,0.36567923426628113,,,,,
,388,0.38078761100769043,,,,,
,264,,0.38078761100769043,7,,,
,390,0.3792577087879181,,,,,
,391,0.3803771138191223,,,,,
